,narrative,Product
233380,Nationstar will not give payoff amt to Totle company to close on sale if my home.,Mortgage
542238,"I 've disputed an inaccurate bankruptcy with Transunion for several months now. Transunion consistently responded to the disputed account as "" verified ''. They violated several federal rules under the FCRA 623 and 1681i during their so called investigations. Transunion has GEORGIA FEDERAL COURT - XXXX listed as the furnisher of information. I received a letter from the courthouse stating that they do not communicate with credit bureaus. Transunion did not send a notice of my dispute to the furnisher of information. In fact they are not providing the true furnisher of information for this account, as we know the courthouse is not the true furnisher of information. Transunion did not list an address or phone number for the courthouse, which proves that the account is inaccurate. Transunion also did not add a dispute statement to the account within 30 days. Transunion received my previous dispute via USPS Certified Mail on XXXX XXXX, 2016. I pulled my credit report on XXXX XXXX, 2016 and there was no dispute statement listed with this bankruptcy.",Credit reporting
615310,"I found an unauthorized credit card account, opened XXXX XXXX, on my credit report. It was opened in a town, over a XXXX miles away, that I lived in over five years ago. There were no charges on the account. 

I reported it to Equifax , on XXXX XXXX. Just yesterday, XXXX XXXX, I received their confirmation of dispute completion ; and they claim that they have have verified that it is indeed my account. Now, there are {$240.00} of charges on that card.",Credit reporting
14936,"In XXXX 2015, I signed papers for a Deed-In-Lieu to convey title of my property located at XXXX XXXX XXXX, XXXX, NC XXXX, to XXXX. The Junior Lien Holder is Franklin Credit Management XXXX. A check was sent to Franklin Credit as settlemnt of the Junior Lien. The check was cashed but the Lien has never been released by Franklin Credit, so that a clear title can be done. Franklin Credit continues to refuse to release the Junior Lien and so the saga continues.",Mortgage
1017474,Did not realize I had to make payments every 2 weeks. I get paid every month just once and was asked how often I got paid when I opened the loan.,"Payday loan, title loan, or personal loan"
366193,on XXXX i settle an account with mariner finance the account was marked closed on XXXX. I received an email from XXXX XXXX XXXX Branch Manager stating that XXXX will report this account to the courts and the credit bureau as settle in full not account paid for less full balance i have attached the documents i received from XXXX and a copy of credit report.,Credit reporting
821821,"I discovered a tax lien in t he State of M aryland which was not correct.     I had not lived in nor worked in the State of Maryland in  XXXX   ( y ear in question ) however, due to my   XXXX   XXXX   XXXX    XXXX  I used my sisters address as a return address on my federal tax returns to insure I would not miss any mail.     Maryland thought I was in MD and pursued taxes owed.     In  XXXX  I discovered the lien and started to investigate. After multiple phone calls I was able to speak to a supervisor who understood my dilemma. She realized the lien was not valid and on behlf of the State of Maryland filed a Notice  of Lien Withdrawal  on  XXXX   XXXX ,  XXXX  noting the lien was withdrawn and vacated and sent a copy the credit reporting agencies and to me.     On  XXXX   XXXX ,  XXXX  I sent TransUnion proof of the liens updated status requesting removal  by US M ail.     On  XXXX   XXXX ,  XXXX , I disputed online through  XXXX   XXXX .     On  XXXX   XXXX ,  XXXX  I mailed copy of lien withdrawal to Transunion by certified mail return receipt requested  (   XXXX   XXXX   XXXX   XXXX   XXXX  ) delivered  XXXX   XXXX ,  XXXX .     On  XXXX   XXXX ,  XXXX  I spoke with a TransUnion customer service agent to check status of my request for investigation. I was told that investigation was incomplete.      XXXX   XXXX ,  XXXX  TransUnion reported investigation completed and that tax lien was valid and would not be removed from my credit report.     I made no payments to th e State o f Maryland as this was a lien filed in error. I sent information b y US m ail and confirmed documents had been received.     TransUnion is obligated to investigate and remove erroneous information. This was not a paid tax lien this was a tax lien that never should have been filed. The  State o f Maryland recognized the error and filed a motion to vacate and withdraw while TransUnion has failed to properly investigate and report the error.","Credit reporting, credit repair services, or other personal consumer reports"
710324,"They do not allow for early payments. For example, my payment is due on XXXX/XXXX/2016. I wanted to make my payment today, XXXX/XXXX/2016. They will not allow it. You can only delay payments, you can not advance them. While you are allowed to make additional payments or pay off early without penalties, you can not make advanced or early payments. This establishes a minimum interest charge that can not be reduced in order to pay off early. They advertise "" no prepayment penalty '', however you are actually not allowed to advance your payments in order to prepay early. It seems unfair and deceptive.",Consumer Loan
865642,"I began aggressively disputing the below accounts in XX/XX/XXXX, I however have been disputing the accounts since XX/XX/XXXX when they first appeared and was reporting positively because they are not my accounts. <P/>1 ) XXXX XXXX XXXX 2 ) XXXX XXXX My initial dispute online was I had no knowledge of the accounts. I had one XXXX account that is closed and positive and no knowledge of XXXX at all. <P/>In response the credit bureaus 1 ) told me the debt was valid, 2 ) reported it as fraud 3 ) there 's another account with similar information as mine and asked me to send in identify evidence which I did. <P/>Because of their response, and due to my confusion as to how you can say its valid and fraud and say I may have 2 reports, I then sent TWO letters (XX/XX/XXXX and XX/XX/XXXX ) asking for validation for the debt since they were stating it was a verified not validated debt. <P/>What I received in response was a letter stating to call the company and a letter stating no changes would be made because they verified the account but a temporary fraud alert would be placed. I was even told my dispute was frivolous because I asked how can they determine a account is valid but say its fraud all in the same breath. <P/>Nonetheless, NO ONE FROM THE BUREAU HAS GIVEN ME PROOF WITH MY SIGNATURE THAT I OWED The DEBT NOR HAVE ANYONE BEEN ABLE TO JUSTIFY THE REPORTING OF AN ACCOUNT BEING FRAUD BUT VALID. <P/>FCRA rules states that it is the reporting agencies obligation to defend the accuracy of the information THEY are reporting. It is NOT the consumers obligation to call the creditors to figure out what is going on. Nor is it ethically moral to tell someone their inquiries are frivolous especially when I have legit concerns with the reporting of inaccurate information. <P/>
Inaccurate reporting is occurring because : 1 ). They claimed it is a fraud account but also said they were able to validate it.
2 ) The bureau claimed to have investigated the validity of the account, but have been unable to furnish undisputable evidence, with my written signature, of such validation and it is now 60 days into the investigation.","Credit reporting, credit repair services, or other personal consumer reports"
790487,"I recently filed a complaint about US Bank. They held the second mortgage to a home i owned, and I tried and tried to get them to modify my loan, but they never even said yes or no at the time. I ended up losing that home. 
US Bank sent me something in the mail. They sent me a copy of a note I signed, stating and agreeing that I wold NOT take the XXXX dollars I could have got from their line of credit. They call this their "" loan modification ''. 
WHAT A JOKE! ... ... .... I have been a realtor for over 20 years, i know a little more than the average person. 
- In reponce, I called US bank up last Friday, XX/XX/XXXX. I had to talk to XXXX people in XXXX different departments, i kept getting tossed from one rep to another rep.. etc. 
Finally, one rep said.. "" oh. im reading here that we kept asking you and asking you for documents, and we never got them ''. so your loan modification was denied ''. 
NOW I remember what happened. i was completely eligible for a loan mod. the investor was XXXX! i had a TRUE hardship ... I became XXXX to work! ... .. I emailed US bank most every day, the rep was okay. 
but- now they say I did not get a loan mod was because they didnt get the paperwork? - I faxed them ALL paperwork. Then they said they didnt get the fax and faxes. I had to XXXX with proof of service directly to their physical office.. I still have this paperwork, and proof that I XXXX it to them. 
i really miss my house. If they had only done a loan mod, like most banks were doing, maybe I could still be happy there. I am a XXXX year old woman.. i was planning to retire there. US BANK was unethical and illegally denied me a loan modification.",Mortgage
57089,"I have been late making my regular payments for a personal loan to OneMain Financial in XXXX, SD. Had contact with them, I told them how much I could pay for now and they continued to call up to XXXX or more times per day. I was late by about XXXX days on regular payments. I did make a smaller payment of {$25.00} which they cashed but they said it was not enough. I stopped answering and called them, left a message that they were not to call my office anymore. A OneMain employee called my office on XXXX/XXXX/15 and my boss answered the phone. He told my boss that OneMain would be garnishing my wages and he would be mailing the paperwork to our office. I have not received a court order or judgments against me. As far as I understand the law, there needs to be a judgment before wage garnishment. This was very embarrassing to me and as far as I know, employers are not a qualified third party and this violated my rights. If I had been served a court order at least I would have been aware that wage garnishment was a possibility. I filed bankruptcy the next day, I had planned on it eventually, but this did cause me a lot of anxiety and also made my coworkers aware of my situation, which was unnecessary. I will talk to my lawyer about a lawsuit against this company.",Consumer Loan
947106,"I agreed with Homedepot to replace my roof in XXXX XXXX. I applied for their credit card because the interest free offer for 24 months. I charge {$11000.00} for the complete job on the credit card.

The job was not done and the contractor stop responding to my requests to complete the repair. I called all the contacts I have for Homedepot and no one responded so I tried to dispute {$2700.00} of the charge on the credit card but the credit card would not want to initiate the dispute. I came here and file a complaint ( XXXX ). The credit card responded by initiate the dispute. 

The letter stated that it will take 120 days, which has passed for the investigation. As of today, XXXX XXXX, I did not receive a corresponding that the dispute is resolved. I have called them continuously for an answer and they flaunted with me by saying they need three weeks more or three days more to give me a resolution of the dispute. 

Today they said that they sent a letter to me in XXXX ( which I never received otherwise I would not have continuously call ). The person answered the phone at XXXX said XXXX XXXX is not available but someone else said that the dispute was closed in XXXX in favor of Homedepot. 

However, I received a letter dated XXXX XXXX, XXXX stating the dispute is only for {$2000.00}.

Homedepot did not complete the work and a contractor will charge me {$2000.00} to finish the work. Initially {$2700.00} but Homedepot does not want to pay for a damaged Sky window their contractor cemented closed on the roof that got damaged when I try to open it on a nice day.",Credit card or prepaid card
736082,XXXX XXXX XXXX XXXX XXXX XXXX VA XXXX I filled Chapter XXXX bankruptcy in XX/XX/XXXX and 7 years have passed. By law you MUST remove the Credit card account from Transunion credit report. You have refused to remove the account and this is why I MUST fail a complaint. See info : Account Details Last Reported XX/XX/XXXX Creditor Name XXXX Account Type Credit Card Account Status Closed - Derogatory Opened Date XX/XX/XXXX Closed Date XX/XX/XXXX Limit {$1800.00} Term -- Monthly Payment {$0.00} Responsibility Individual Balance {$0.00} Highest Balance {$10000.00} Payment Status Payment Plan Worst Payment Status Unknown Date of Last Payment XX/XX/XXXX Amount Past Due $ XXXX Times 30/60/90 Days Late 0/0/0 Remarks Chapter XXXX ; wage earner plan account XXXX XXXX XX/XX/XXXX,Credit reporting
111282,"I originally opened up a checking and savings account with Wells Fargo. The in approximately XXXX XXXX, I was notified by Wells Fargo through email that they were closing the savings account and adding another or secondary checking account. I did n't really understand the reason why ( maybe to allow for overnight sweeps/loans ) but I let the action occur. Then I transferred money into the secondary account as a lay away fund for a home improvement since the account was there. I gradually moved the money back into the primary checking account and was going to transfer all money back around XXXX/XXXX/XXXX when I noticed the account had less money than I noticed before back in XXXX XXXX. 
Wells Fargo deducted XXXX {$10.00} fees for not maintaining a certain balance in the checking account. 
My opinion is that this second checking account was added to generate just these kind of fess as XXXX checking accounts I do n't need as a consumer. 
Attached is a Excel spreadsheet for the time period of XXXX/XXXX/XXXX XXXX.",Bank account or service
66783,"I wanted to purchase something with my Sears/Citi Bank Master card, so I took my card out and I noticed the the card had went past the expiration date which ended on XXXX/XXXX/XXXX. I did n't receive my new card so I called Sears to see if they sent me another card to replace the old one. At first they said that the card had been returned and they would send me another one. After placing me on hold many times they finally came back and said that my account was being closed because I had n't used my card in XXXX months. I currently have a balance over {$2000.00}, I have been making my payments on time and I have n't missed any payments. I opened this account back in XXXX and I have never had any issues with this account in the past XXXX years. Then I finally talk to a supervisor and she tells me that the last time I used the card was on XXXX/XXXX/XXXX and that if the card is not used in a twelve month period the account would be closed. I spoke to them on XXXX/XXXX/XXXX and I reminded the supervisor that I had XXXX more days to go before the year was up. She said that it did n't matter and that my account would be closed anyway. I 'm sure I 'm not the only one who has been caught in this situation and that it may be a nation wide problem. Like I said before, My account has been open for more than XXXX years and I 'm just stunned by the treatment that I received from this company. It 's all most like my XXXX years do n't mean anything to them. I have fought to keep a good credit record and to pay my bills even through the great recession. After all of my hard work to keep my XXXX credit score, I find out that it does n't matter. I almost want to file bankruptcy so I do n't has to pay any of them back. I 'm asking you to help me to fix this situation. 

Thank you",Credit card
280050,"ACCOUNT RCVY SERVICE  XXXX  ACCOUNT RCVY SERVICE Address :  XXXX   XXXX   XXXX   XXXX , AZ  XXXX  (  XXXX  )  XXXX  Account Number :  XXXX  Original Creditor :  XXXX   XXXX    XXXX   XXXX   Collection account. {$1400.00} there is also an amount of {$3500.00} that belongs to another family member who is  XXXX  and never authorized those   XXXX   prescribed by a Doctor.",Debt collection
537825,"Bank of America credit card company charged {$3.00} interest to {$280.00} balance subject on XX/XX/XXXX. For this bill, I made {$310.00} of purchase which is due on XX/XX/XXXX. 
For the previous month, I paid in full the new balance total of {$900.00} ( {$570.00} ( the previous balance ) +late fee {$25.00} +interest {$12.00} + $ XXXX {$900.00} ) on XX/XX/XXXX which was before due ( XX/XX/XXXX ), and there was no balance for the interest. I don't understand where both the balance {$280.00} and the interest {$3.00} are coming from. 
On XX/XX/XXXX, I talked with XXXX in North Carolina branch of bank of America credit card. She told that BOA has a policy that they charge the interests 'double ' consecutively for the 'one ' billing cycle of the unpaid balance, even though I paid it full amount of New balance on next month which includes late fee and the interest. So, when we both read together the policy on the statement, it says : BOA will NOT CHARGE interest on purchases on the next statement if you had paid the new balance total in full by the payment due date. The BOA policy is totally opposite of what she said. When I asked the explanation it to her, she hung up the phone.",Credit card or prepaid card
748432,"NEW FORM OF CREDIT CARD SCAM USING ONLINE XXXX. 
I would like to make a report. The popular websites known as XXXX where people search for jobs is now a medium through which scammers target US resident to work with them. I, m a victim along with others because I 've seen where they post about it. They represent themselves to you as owner of online XXXX XXXX. They go by various name such as XXXX, XXXX XXXX, XXXX and XXXX. They are very good at what they do. I was offered this project on XXXX. First they tell you that they are not tech savy so they would like you to build a website for them and create a new email for business. The salary is XXXX per week. Once all that is done they send you all kind of agreements and policy also they send you pictures of the painting. Once all of that is done you are required to create a merchant account with XXXX. XXXX and XXXX is the only companies these scammers use i dont know why. Once the accounts are created they ask you to process orders. They have a long list of credit cards information for XXXX of individuals who lives in the US. Ive seen in only on webcam because they interview you on hangout. You are then required to process 10 orders per day they provide you with the individuals information. Of the 4/5 orders only 3 successful the money one painting cost XXXX dollars. So thats XXXX per day to be deposited to the square account after that the company would deposit the money to out bank accounts. I found out before it was too late because i started asking question and i realize they did n't want to answer until XXXX of the deposit went to my bank account total of XXXX the next morning the victim of that scam call me i explain to her what happen she told me that she did n't purchase any painting so i sent her screenshot of all the conversation and the information given to me then i notify XXXX XXXX of whats happening. After all that i refunded the money to all the individuals Its getting really popular they only target person living in US i would love for the work to get out below is a link to two other persons it happen to as well. I have email conversation i have phone numbers i have the conversation as evidence please look into it. 
XXXX I made a report to XXXX about it and also made a report to US bank about it. I still have the individuals credit card information as well as evidence.",Credit card
643330,"XXXX XXXX has been contacting me since XXXX 2015 or earlier, for collection on a Citibank credit card account that belongs to my husband, who filed for bankruptcy. The Citibank account was settled in bankruptcy court, so they were paid an allotted amount. I did not apply or use the card, ever. My husband 's bankruptcy has been discharged since about XXXX 2015. I have explained this to XXXX representatives of XXXX XXXX. The XXXX said she would send me a dispute form ... never happened. The XXXX said he saw where the issue was resolved so he was going to "" send it up '' because I did n't owe the debt. The XXXX called last week. She said I owe the debt because I was not involved with the bankruptcy. I argued with her because I have not apply for, or used this card, ever. After I speak with a representative, they stop calling for a week or so. Then, they call several times per day while I am at work and then when I am at home. They continue to harass me. What recourse do I have? They put this on my credit report! What can I do about that?",Debt collection
